weekday_id,airbnb_weekday_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris2842,1177.416348215118,Entire home/apt,False,6.0,10.0,97.0,3,4.502412407104737,0.0596596729348192,2.29261,48.86469
paris2843,661.7578525491658,Entire home/apt,False,6.0,10.0,96.0,2,5.943432221189336,0.2410703485676113,2.27867,48.87825
paris2844,183.1484760928325,Private room,False,2.0,10.0,99.0,1,4.774193643845172,0.5134105220945993,2.33534,48.89795
paris2845,498.1824960387734,Entire home/apt,False,2.0,9.0,95.0,1,5.634490301386198,0.2418995491615686,2.2785,48.86958
paris2846,254.91658122844623,Entire home/apt,False,2.0,9.0,95.0,1,3.204252221428679,0.1206059613666048,2.33515,48.88295
paris2847,165.67247646565383,Private room,False,2.0,10.0,96.0,1,5.045867279707686,0.4536988149654015,2.31945,48.89629
paris2848,857.7220617019294,Entire home/apt,False,4.0,9.0,89.0,2,3.574403136412465,0.3131425654418422,2.33365,48.88615
paris2849,230.9162084071209,Entire home/apt,False,2.0,10.0,98.0,1,4.01213163075053,0.3250058088292868,2.33411,48.8905
paris2850,283.8102339453817,Entire home/apt,False,3.0,8.0,85.0,1,5.529536041506487,0.4056701493805671,2.28641,48.88021
paris2851,243.0329014819648,Private room,False,2.0,8.0,100.0,1,7.068860480608912,0.2282749016297243,2.258,48.845
paris2852,254.6835679000839,Entire home/apt,False,2.0,9.0,95.0,0,4.096239852570305,0.330657397778378,2.33818,48.892140000000005
paris2853,231.61524839220803,Private room,False,2.0,9.0,87.0,1,4.837352153301258,0.0461589937945601,2.32867,48.89708
paris2854,510.0661757852549,Entire home/apt,False,2.0,10.0,100.0,1,6.8554275733066525,1.1547765354805457,2.26551,48.87872
paris2855,216.4693820486532,Entire home/apt,False,2.0,10.0,95.0,1,4.869191660794199,0.4969899302098836,2.32137,48.89517
paris2856,341.5975393792525,Entire home/apt,False,2.0,9.0,96.0,1,3.14597484515366,0.1658092714279283,2.33898,48.88337
paris2857,231.61524839220803,Private room,False,2.0,9.0,93.0,1,4.867197656921382,0.0853329959585453,2.32765,48.8971
paris2858,396.3556715444124,Entire home/apt,False,2.0,10.0,97.0,0,5.532084005480535,0.3111689523324088,2.27742,48.85901
paris2859,741.681424177463,Entire home/apt,False,2.0,9.0,96.0,1,3.641512358594015,0.3666709903514895,2.33292,48.8866
paris2860,171.03178301798863,Entire home/apt,False,5.0,9.0,92.0,0,4.173971152545465,0.222067661182115,2.40064,48.87685
